ax_mean,ax_std,ax_min,ax_max,ax_energy,ay_mean,ay_std,ay_min,ay_max,ay_energy,az_mean,az_std,az_min,az_max,az_energy,gx_mean,gx_std,gx_min,gx_max,gx_energy,gy_mean,gy_std,gy_min,gy_max,gy_energy,gz_mean,gz_std,gz_min,gz_max,gz_energy,sma,label
-839.24,879.3085808187633,-1628,1776,1473641.44,-3941.98,303.2627923205057,-4996,-3112,15630714.8,14610.08,210.7601785544926,13784,15768,213498635.4,-198.74,365.03577631507534,-2130,1552,172082.45,-4.315,597.6559368644695,-2869,2662,355425.275,-198.345,173.23460136633432,-1155,413,69200.915,6556.3133333333335,0
-874.84,917.4413701914109,-1656,1776,1602835.2,-4052.08,280.42550869999013,-4996,-3112,16497597.6,14588.32,210.20683186044172,13784,15768,212863046.4,-184.955,341.88861064011354,-2130,1552,150511.735,-28.81,572.2776532962924,-2869,2662,326694.22,-211.52,163.12818155699048,-1155,300,71218.46,6600.946666666667,0
-872.46,854.8090317749457,-1656,1228,1488231.44,-3963.76,274.4930501358173,-4524,-3052,15786363.04,14625.2,186.43095910433658,14188,15412,213931057.8,-177.32,410.48961768984583,-3932,1827,199101.6,-29.325,514.5209992,-2534,3210,264268.155,-221.81,149.1568730022827,-1041,386,71336.21,6573.486666666667,0
-1002.32,616.6919509869253,-1520,1112,1383052.8,-3827.16,264.4514459,-4524,-3052,14716738.56,14654,162.7299764214653,13948,15412,214766064.6,-205.16,425.9938004125761,-3932,1827,222653.99,42.235,475.9460716199392,-1499,3210,227175.835,-197.005,140.8456690403975,-1041,643,58549.285,6539.1866666666665,0
-1159.92,249.58190889211332,-1380,408,1407394.08,-3694.6,138.5923489806703,-4188,-3120,13669180.96,14674.68,125.18198852573114,13948,14964,215361825.3,-211.73,257.9072270971574,-2223,1477,111013.15,13.15,336.2429391,-3086,2582,112666.94,-195.87,97.70514097458906,-740,643,47863.62,6514.013333333333,0
-921.56,472.77524104241496,-1352,696,1071671.68,-3860.88,443.55388153993846,-4580,-2512,15102150.72,14669.12,180.56134023632995,14200,15316,215215521,-187.25,337.6100863,-1522,1872,148473.23,-36.815,455.20316384762134,-3086,2005,207529.215,-211.345,132.19692169459785,-981,160,62055.355,6502.133333333333,0
-705.02,686.8375124017406,-1516,1164,966440.24,-4117.16,467.31231354626186,-5456,-2512,17168295.36,14608.6,213.22873273157057,14120,15344,213456433.1,-202.86,369.31561096508307,-1522,1872,176864.23,32.365,444.8626819637944,-2959,2005,197960.785,-197.565,140.37135162412562,-981,302,58637.525,6544.846666666666,0
-777.8,757.0201035546742,-1516,1164,1175186.88,-4177.06,416.67310783631075,-5456,-3140,17620578.64,14582.9,224.56745693347432,14120,15456,212711150.8,-216.86,381.87643085455153,-3178,1273,192128.72,49.91,404.71153806782695,-1495,2636,165463.48,-197.905,130.05285348077706,-637,407,55995.565,6594.32,0
943.92,921.3748922454428,232,4544,1735672,-2586.64,565.7149080463848,-4444,-1124,7009139.68,14923.42,406.9404702553658,12468,16488,222873237,-207.15,732.9630561689604,-3272,5029,577459.79,-6.81,647.9975758,-3030,3292,417847.73,-201.37,536.0864168505468,-3817,3730,326501.58,6151.326666666667,0
802.16,1203.6763009995418,-2860,4544,2085053.12,-2461.5,615.3329858028785,-4444,-1124,6435723.76,14940.28,428.35452559531797,12468,16488,223394536.6,-189.695,764.9969106746173,-3272,5029,618278.365,110.72,664.0514462118732,-3030,3292,451018.42,-181.3,535.6250000732953,-3817,3730,318329.36,6175.1,0
-677.7,1724.9528986359492,-4400,992,3419862.48,-2435.32,392.3930159864914,-3432,-1452,6083985.92,14888.46,322.0999382975046,14028,15900,221769470.8,-194.91,324.24305651546723,-1534,1591,142597.8,-18.07,782.9388747,-3869,3001,610254.84,-217.125,191.16143135893282,-1493,340,83503.245,6223.333333333333,0
-497.64,1677.181612469571,-4400,684,3046519.04,-2379.74,194.8065717628901,-3432,-1848,5700922.32,14896,286.76732290733054,14028,15448,221972640.3,-190.895,174.28332496773479,-931,412,66663.705,-84.805,712.2362383867846,-3869,3001,511935.945,-233.82,163.4012774963439,-1493,340,81238.27,6160.22,0
508.84,77.37148138,328,684,264874.56,-2380.52,96.87981260537337,-2700,-2196,5676214.24,15028.78,99.18558616307392,14764,15364,225874016.9,-188.09,86.04686055316182,-555,118,42744.89,12.775,28.285414942907632,-69,105,959.265,-213.085,31.461993902191065,-332,-139,46390.125,5972.713333333333,0
525.84,77.76251955303519,316,748,282524.48,-2303.98,86.43979866918853,-2532,-2000,5315758.32,15044.44,101.49261131113815,14712,15320,226345424.2,-192.765,70.59054398074495,-477,-10,42116.455,10.625,25.521581664412302,-52,105,760.985,-210.105,26.783216356366907,-281,-145,44857.865,5958.086666666667,0
428.14,455.63564346744204,-2204,892,389869.68,-2254.92,118.04212517818762,-2628,-1944,5098528.48,15040.52,145.34841038693904,14152,15528,226238262.4,-205.42,120.62464559793798,-941,215,56674.93,64.44,235.0193115127342,-210,1454,59110.42,-196.125,64.52267238154572,-293,273,42607.375,5955.153333333334,0
252.04,742.1513738507413,-2644,1264,611558.88,-2296.92,173.09559214520888,-2948,-1928,5305653.76,15026.52,170.66576580583012,14152,15528,225825284.5,-203.13,172.90629262739617,-941,790,71008.9,19.235,371.79008744263615,-1508,1454,137906.715,-205.085,89.89607497817917,-632,273,50100.755,5991.426666666666,0
375.66,627.4563184459847,-2644,1264,532853.36,-2265.84,175.33902379770356,-2948,-1912,5164620.96,15048.16,144.24202999154028,14420,15412,226467821.1,-190.31,151.27672370751026,-852,790,58988.12,-39.27,280.6880940308179,-1508,1208,79934.01,-217.05,71.29123156807198,-632,74,52167.73,5982.193333333334,0
570.32,76.17526471745188,308,868,331038.56,-2165.08,94.65787960256807,-2396,-1912,4696486.72,15068.56,97.00896917554846,14816,15364,227070864.2,-195.855,77.45307527365672,-447,141,44328.165,7.49,32.882154436745935,-197,109,1131.93,-205.065,35.795774363904435,-337,-24,43326.585,5934.653333333334,0
401.72,537.7866435398422,-1900,800,449147.36,-2168.2,108.7184367642504,-2796,-1896,4712851.84,15042.5,120.07129372955656,14596,15344,226291151.3,-203.13,92.80261162067633,-718,94,49831.06,47.915,260.4181557692769,-577,1973,69774.375,-191.35,67.54776832009424,-355,269,41154.71,5941.926666666666,0
335.92,574.3026302880555,-1900,800,441016.64,-2327.8,188.08861377862783,-2900,-1896,5453853.28,15017.06,133.26392146345947,14596,15348,225529761.5,-200.325,113.85805928135514,-718,94,53028.945,5.7,332.23647508496776,-1528,1973,109861.66,-200.02,78.74307563080701,-477,269,46177.47,5982.26,0
213.7,724.1133687857664,-2000,780,567386.16,-2502.28,155.99021229442022,-3032,-2136,6285616.48,15008.74,161.99017403043945,14444,15580,225288386,-209.255,141.49481932025768,-811,293,63708.335,-40.355,435.35805050059474,-2037,2016,190217.475,-220.71,93.49514753753441,-1019,124,57410.54,6056.2266666666665,0
294.7,713.8774791771918,-2000,780,593921.04,-2523.28,151.90145443443416,-3032,-2136,6389900.64,15009.36,151.90499014236087,14444,15580,225303847.4,-207.735,135.18598681132136,-811,293,61337.705,-1.31,388.56845099097745,-2037,2016,150232.23,-212.23,87.20332101462593,-1019,124,52607.97,6072.886666666666,0
613.72,63.626434884255474,416,740,380680.32,-2506.48,90.11131921,-2808,-2144,6290521.44,15013.6,93.91539013,14748,15304,225416961,-197.945,74.64914230743834,-549,265,44726.855,5.885,25.80136288325029,-114,58,697.015,-205.035,29.06661513795319,-301,-119,42879.995,6044.6,0
